user_id,title,message,type,is_read,action_url,related_entity_id,icon,priority,id,created_date,updated_date,created_by_id,created_by,is_sample
"68bea4c604d7687ff1706fcf","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך. (אם אתם רואים פרופיל ריק - רעננו את הדף)","profile_updated","false","/Profile","","✅","high","6966c5cafe08c83d5912e08c","2026-01-13T22:23:06.786000","2026-01-13T22:23:06.786000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"68be9a929e70b9c0405d738a","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך. (אם אתם רואים פרופיל ריק - רעננו את הדף)","profile_updated","false","/Profile","","✅","high","6962c48e9938969b30ebfc39","2026-01-10T21:28:46.625000","2026-01-10T21:28:46.625000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"68f7b1b9a33b07f1c0b744cc","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך. (אם אתם רואים פרופיל ריק - רעננו את הדף)","profile_updated","false","/Profile","","✅","high","695bd9bc2fd540fa90bb371a","2026-01-05T15:33:16.946000","2026-01-05T15:33:16.946000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"695a10cb031b57504ee60c4e","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695bb866755887f44b5a306a","2026-01-05T13:11:02.977000","2026-01-05T13:11:02.977000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"68f7b1b9a33b07f1c0b744cc","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695bb8667f0f4fec10712674","2026-01-05T13:11:02.954000","2026-01-05T13:11:02.954000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"69038756013f15301578e456","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695a9f0215545bde3e5a4ffa","2026-01-04T17:10:26.845000","2026-01-04T17:10:26.845000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"695a10cb031b57504ee60c4e","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695a9f02879f3e9f059122f9","2026-01-04T17:10:26.358000","2026-01-04T17:10:26.358000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"69038756013f15301578e456","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695a9efc1f7741afba850618","2026-01-04T17:10:20.698000","2026-01-04T17:10:20.698000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"69038756013f15301578e456","❌ עדכון הפרופיל נדחה","הבקשה שלך לעדכון הפרופיל נדחתה. סיבה: כבר אושר

ניתן לערוך את הפרטים ולשלוח שוב לאישור.","system","false","/Profile","","❌","high","695a9ef6278f20dc86344988","2026-01-04T17:10:14.286000","2026-01-04T17:10:14.286000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"69038756013f15301578e456","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695a9ee9b7a537f4caf9e746","2026-01-04T17:10:01.266000","2026-01-04T17:10:01.266000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
"695a10cb031b57504ee60c4e","🎉 הפרופיל שלך אושר והופעל!","מזל טוב! הפרופיל המעודכן שלך כולל כל השירותים והתמונות כעת מוצג באתר. לחצי כאן כדי לצפות בפרופיל שלך.","profile_updated","false","/Profile","","✅","high","695a50b7bfb1b9f1a3933d2f","2026-01-04T11:36:23.409000","2026-01-04T11:36:23.409000","683ed65f1113585473038f32","cberdugocohen@gmail.com","false"
